Line Number: 1 Start position: 0 VAR var null
Line Number: 1 Start position: 4 IDENTIFIER f null
Line Number: 1 Start position: 5 SEMICOLON ; null
Line Number: 3 Start position: 8 FUN fun null
Line Number: 3 Start position: 12 IDENTIFIER foo null
Line Number: 3 Start position: 15 LEFT_PAREN ( null
Line Number: 3 Start position: 16 IDENTIFIER param null
Line Number: 3 Start position: 21 RIGHT_PAREN ) null
Line Number: 3 Start position: 23 LEFT_BRACE { null
Line Number: 4 Start position: 27 FUN fun null
Line Number: 4 Start position: 31 IDENTIFIER f_ null
Line Number: 4 Start position: 33 LEFT_PAREN ( null
Line Number: 4 Start position: 34 RIGHT_PAREN ) null
Line Number: 4 Start position: 36 LEFT_BRACE { null
Line Number: 5 Start position: 42 PRINT print null
Line Number: 5 Start position: 48 IDENTIFIER param null
Line Number: 5 Start position: 53 SEMICOLON ; null
Line Number: 6 Start position: 57 RIGHT_BRACE } null
Line Number: 7 Start position: 61 IDENTIFIER f null
Line Number: 7 Start position: 63 EQUAL = null
Line Number: 7 Start position: 65 IDENTIFIER f_ null
Line Number: 7 Start position: 67 SEMICOLON ; null
Line Number: 8 Start position: 69 RIGHT_BRACE } null
Line Number: 9 Start position: 71 IDENTIFIER foo null
Line Number: 9 Start position: 74 LEFT_PAREN ( null
Line Number: 9 Start position: 75 STRING "param" param
Line Number: 9 Start position: 82 RIGHT_PAREN ) null
Line Number: 9 Start position: 83 SEMICOLON ; null
Line Number: 11 Start position: 86 IDENTIFIER f null
Line Number: 11 Start position: 87 LEFT_PAREN ( null
Line Number: 11 Start position: 88 RIGHT_PAREN ) null
Line Number: 11 Start position: 89 SEMICOLON ; null
Line Number: 12 Start position: 107 EOF  null
