Line Number: 1 Start position: 0 CLASS class null
Line Number: 1 Start position: 6 IDENTIFIER Foo null
Line Number: 1 Start position: 10 LEFT_BRACE { null
Line Number: 2 Start position: 14 IDENTIFIER init null
Line Number: 2 Start position: 18 LEFT_PAREN ( null
Line Number: 2 Start position: 19 RIGHT_PAREN ) null
Line Number: 2 Start position: 21 LEFT_BRACE { null
Line Number: 3 Start position: 27 PRINT print null
Line Number: 3 Start position: 33 STRING "init" init
Line Number: 3 Start position: 39 SEMICOLON ; null
Line Number: 4 Start position: 45 RETURN return null
Line Number: 4 Start position: 51 SEMICOLON ; null
Line Number: 5 Start position: 57 PRINT print null
Line Number: 5 Start position: 63 STRING "nope" nope
Line Number: 5 Start position: 69 SEMICOLON ; null
Line Number: 6 Start position: 73 RIGHT_BRACE } null
Line Number: 7 Start position: 75 RIGHT_BRACE } null
Line Number: 9 Start position: 78 VAR var null
Line Number: 9 Start position: 82 IDENTIFIER foo null
Line Number: 9 Start position: 86 EQUAL = null
Line Number: 9 Start position: 88 IDENTIFIER Foo null
Line Number: 9 Start position: 91 LEFT_PAREN ( null
Line Number: 9 Start position: 92 RIGHT_PAREN ) null
Line Number: 9 Start position: 93 SEMICOLON ; null
Line Number: 10 Start position: 111 PRINT print null
Line Number: 10 Start position: 117 IDENTIFIER foo null
Line Number: 10 Start position: 120 DOT . null
Line Number: 10 Start position: 121 IDENTIFIER init null
Line Number: 10 Start position: 125 LEFT_PAREN ( null
Line Number: 10 Start position: 126 RIGHT_PAREN ) null
Line Number: 10 Start position: 127 SEMICOLON ; null
Line Number: 12 Start position: 168 EOF  null
