Line Number: 1 Start position: 0 CLASS class null
Line Number: 1 Start position: 6 IDENTIFIER Foo null
Line Number: 1 Start position: 10 LEFT_BRACE { null
Line Number: 2 Start position: 14 IDENTIFIER init null
Line Number: 2 Start position: 18 LEFT_PAREN ( null
Line Number: 2 Start position: 19 IDENTIFIER arg null
Line Number: 2 Start position: 22 RIGHT_PAREN ) null
Line Number: 2 Start position: 24 LEFT_BRACE { null
Line Number: 3 Start position: 30 PRINT print null
Line Number: 3 Start position: 36 STRING "Foo.init(" Foo.init(
Line Number: 3 Start position: 48 PLUS + null
Line Number: 3 Start position: 50 IDENTIFIER arg null
Line Number: 3 Start position: 54 PLUS + null
Line Number: 3 Start position: 56 STRING ")" )
Line Number: 3 Start position: 59 SEMICOLON ; null
Line Number: 4 Start position: 65 THIS this null
Line Number: 4 Start position: 69 DOT . null
Line Number: 4 Start position: 70 IDENTIFIER field null
Line Number: 4 Start position: 76 EQUAL = null
Line Number: 4 Start position: 78 STRING "init" init
Line Number: 4 Start position: 84 SEMICOLON ; null
Line Number: 5 Start position: 88 RIGHT_BRACE } null
Line Number: 6 Start position: 90 RIGHT_BRACE } null
Line Number: 8 Start position: 93 VAR var null
Line Number: 8 Start position: 97 IDENTIFIER foo null
Line Number: 8 Start position: 101 EQUAL = null
Line Number: 8 Start position: 103 IDENTIFIER Foo null
Line Number: 8 Start position: 106 LEFT_PAREN ( null
Line Number: 8 Start position: 107 STRING "one" one
Line Number: 8 Start position: 112 RIGHT_PAREN ) null
Line Number: 8 Start position: 113 SEMICOLON ; null
Line Number: 9 Start position: 140 IDENTIFIER foo null
Line Number: 9 Start position: 143 DOT . null
Line Number: 9 Start position: 144 IDENTIFIER field null
Line Number: 9 Start position: 150 EQUAL = null
Line Number: 9 Start position: 152 STRING "field" field
Line Number: 9 Start position: 159 SEMICOLON ; null
Line Number: 11 Start position: 162 VAR var null
Line Number: 11 Start position: 166 IDENTIFIER foo2 null
Line Number: 11 Start position: 171 EQUAL = null
Line Number: 11 Start position: 173 IDENTIFIER foo null
Line Number: 11 Start position: 176 DOT . null
Line Number: 11 Start position: 177 IDENTIFIER init null
Line Number: 11 Start position: 181 LEFT_PAREN ( null
Line Number: 11 Start position: 182 STRING "two" two
Line Number: 11 Start position: 187 RIGHT_PAREN ) null
Line Number: 11 Start position: 188 SEMICOLON ; null
Line Number: 12 Start position: 215 PRINT print null
Line Number: 12 Start position: 221 IDENTIFIER foo2 null
Line Number: 12 Start position: 225 SEMICOLON ; null
Line Number: 15 Start position: 305 PRINT print null
Line Number: 15 Start position: 311 IDENTIFIER foo null
Line Number: 15 Start position: 314 DOT . null
Line Number: 15 Start position: 315 IDENTIFIER field null
Line Number: 15 Start position: 320 SEMICOLON ; null
Line Number: 16 Start position: 337 EOF  null
