Line Number: 1 Start position: 0 FUN fun null
Line Number: 1 Start position: 4 IDENTIFIER foo null
Line Number: 1 Start position: 7 LEFT_PAREN ( null
Line Number: 1 Start position: 8 RIGHT_PAREN ) null
Line Number: 1 Start position: 10 LEFT_BRACE { null
Line Number: 2 Start position: 14 VAR var null
Line Number: 2 Start position: 18 IDENTIFIER a1 null
Line Number: 2 Start position: 20 SEMICOLON ; null
Line Number: 3 Start position: 24 VAR var null
Line Number: 3 Start position: 28 IDENTIFIER a2 null
Line Number: 3 Start position: 30 SEMICOLON ; null
Line Number: 4 Start position: 34 VAR var null
Line Number: 4 Start position: 38 IDENTIFIER a3 null
Line Number: 4 Start position: 40 SEMICOLON ; null
Line Number: 5 Start position: 44 VAR var null
Line Number: 5 Start position: 48 IDENTIFIER a4 null
Line Number: 5 Start position: 50 SEMICOLON ; null
Line Number: 6 Start position: 54 VAR var null
Line Number: 6 Start position: 58 IDENTIFIER a5 null
Line Number: 6 Start position: 60 SEMICOLON ; null
Line Number: 7 Start position: 64 VAR var null
Line Number: 7 Start position: 68 IDENTIFIER a6 null
Line Number: 7 Start position: 70 SEMICOLON ; null
Line Number: 8 Start position: 74 VAR var null
Line Number: 8 Start position: 78 IDENTIFIER a7 null
Line Number: 8 Start position: 80 SEMICOLON ; null
Line Number: 9 Start position: 84 VAR var null
Line Number: 9 Start position: 88 IDENTIFIER a8 null
Line Number: 9 Start position: 90 SEMICOLON ; null
Line Number: 10 Start position: 94 VAR var null
Line Number: 10 Start position: 98 IDENTIFIER a9 null
Line Number: 10 Start position: 100 SEMICOLON ; null
Line Number: 11 Start position: 104 VAR var null
Line Number: 11 Start position: 108 IDENTIFIER a10 null
Line Number: 11 Start position: 111 SEMICOLON ; null
Line Number: 12 Start position: 115 VAR var null
Line Number: 12 Start position: 119 IDENTIFIER a11 null
Line Number: 12 Start position: 122 SEMICOLON ; null
Line Number: 13 Start position: 126 VAR var null
Line Number: 13 Start position: 130 IDENTIFIER a12 null
Line Number: 13 Start position: 133 SEMICOLON ; null
Line Number: 14 Start position: 137 VAR var null
Line Number: 14 Start position: 141 IDENTIFIER a13 null
Line Number: 14 Start position: 144 SEMICOLON ; null
Line Number: 15 Start position: 148 VAR var null
Line Number: 15 Start position: 152 IDENTIFIER a14 null
Line Number: 15 Start position: 155 SEMICOLON ; null
Line Number: 16 Start position: 159 VAR var null
Line Number: 16 Start position: 163 IDENTIFIER a15 null
Line Number: 16 Start position: 166 SEMICOLON ; null
Line Number: 17 Start position: 170 VAR var null
Line Number: 17 Start position: 174 IDENTIFIER a16 null
Line Number: 17 Start position: 177 SEMICOLON ; null
Line Number: 18 Start position: 181 IDENTIFIER foo null
Line Number: 18 Start position: 184 LEFT_PAREN ( null
Line Number: 18 Start position: 185 RIGHT_PAREN ) null
Line Number: 18 Start position: 186 SEMICOLON ; null
Line Number: 19 Start position: 229 RIGHT_BRACE } null
Line Number: 21 Start position: 232 IDENTIFIER foo null
Line Number: 21 Start position: 235 LEFT_PAREN ( null
Line Number: 21 Start position: 236 RIGHT_PAREN ) null
Line Number: 21 Start position: 237 SEMICOLON ; null
Line Number: 22 Start position: 238 EOF  null
