Line Number: 1 Start position: 0 CLASS class null
Line Number: 1 Start position: 6 IDENTIFIER Foo null
Line Number: 1 Start position: 10 LEFT_BRACE { null
Line Number: 2 Start position: 14 IDENTIFIER method null
Line Number: 2 Start position: 20 LEFT_PAREN ( null
Line Number: 2 Start position: 21 IDENTIFIER a null
Line Number: 2 Start position: 22 COMMA , null
Line Number: 2 Start position: 24 IDENTIFIER b null
Line Number: 2 Start position: 25 RIGHT_PAREN ) null
Line Number: 2 Start position: 27 LEFT_BRACE { null
Line Number: 3 Start position: 33 PRINT print null
Line Number: 3 Start position: 39 IDENTIFIER a null
Line Number: 3 Start position: 40 SEMICOLON ; null
Line Number: 4 Start position: 46 PRINT print null
Line Number: 4 Start position: 52 IDENTIFIER b null
Line Number: 4 Start position: 53 SEMICOLON ; null
Line Number: 5 Start position: 57 RIGHT_BRACE } null
Line Number: 6 Start position: 59 RIGHT_BRACE } null
Line Number: 8 Start position: 62 IDENTIFIER Foo null
Line Number: 8 Start position: 65 LEFT_PAREN ( null
Line Number: 8 Start position: 66 RIGHT_PAREN ) null
Line Number: 8 Start position: 67 DOT . null
Line Number: 8 Start position: 68 IDENTIFIER method null
Line Number: 8 Start position: 74 LEFT_PAREN ( null
Line Number: 8 Start position: 75 NUMBER 1 1.0
Line Number: 8 Start position: 76 COMMA , null
Line Number: 8 Start position: 78 NUMBER 2 2.0
Line Number: 8 Start position: 79 COMMA , null
Line Number: 8 Start position: 81 NUMBER 3 3.0
Line Number: 8 Start position: 82 COMMA , null
Line Number: 8 Start position: 84 NUMBER 4 4.0
Line Number: 8 Start position: 85 RIGHT_PAREN ) null
Line Number: 8 Start position: 86 SEMICOLON ; null
Line Number: 9 Start position: 144 EOF  null
